[c5_3_4_4_4_4] n=19 m=99 cap=51 | 210 K5s, 1876 K3,3s, 15 sym generators, 18399 clauses, propagator check_at=9
    ... {'checks': 4300000, 'confl': 455864, 'model_rej': 0} 4488s
    ... {'checks': 4350000, 'confl': 459104, 'model_rej': 0} 4526s
    ... {'checks': 4400000, 'confl': 462620, 'model_rej': 0} 4565s
    ... {'checks': 4450000, 'confl': 465813, 'model_rej': 0} 4603s
    ... {'checks': 4500000, 'confl': 469299, 'model_rej': 0} 4642s
    ... {'checks': 4550000, 'confl': 473060, 'model_rej': 0} 4700s
    ... {'checks': 4600000, 'confl': 476356, 'model_rej': 0} 4738s
    ... {'checks': 4650000, 'confl': 479801, 'model_rej': 0} 4777s
    ... {'checks': 4700000, 'confl': 482829, 'model_rej': 0} 4813s
    ... {'checks': 4750000, 'confl': 486050, 'model_rej': 0} 4851s
    ... {'checks': 4800000, 'confl': 489027, 'model_rej': 0} 4887s
    ... {'checks': 4850000, 'confl': 492328, 'model_rej': 0} 4925s
    ... {'checks': 4900000, 'confl': 495145, 'model_rej': 0} 4962s
    ... {'checks': 4950000, 'confl': 498067, 'model_rej': 0} 5024s
    ... {'checks': 5000000, 'confl': 501376, 'model_rej': 0} 5065s
    ... {'checks': 5050000, 'confl': 504505, 'model_rej': 0} 5106s
    ... {'checks': 5100000, 'confl': 507419, 'model_rej': 0} 5147s
    ... {'checks': 5150000, 'confl': 510796, 'model_rej': 0} 5189s
    ... {'checks': 5200000, 'confl': 513790, 'model_rej': 0} 5226s
    ... {'checks': 5250000, 'confl': 515811, 'model_rej': 0} 5268s
    ... {'checks': 5300000, 'confl': 518238, 'model_rej': 0} 5307s
    ... {'checks': 5350000, 'confl': 520286, 'model_rej': 0} 5348s
    ... {'checks': 5400000, 'confl': 521740, 'model_rej': 0} 5380s
    ... {'checks': 5450000, 'confl': 523845, 'model_rej': 0} 5426s
    ... {'checks': 5500000, 'confl': 526043, 'model_rej': 0} 5460s
    ... {'checks': 5550000, 'confl': 528035, 'model_rej': 0} 5495s
    ... {'checks': 5600000, 'confl': 530378, 'model_rej': 0} 5530s
    ... {'checks': 5650000, 'confl': 532445, 'model_rej': 0} 5564s
    ... {'checks': 5700000, 'confl': 534666, 'model_rej': 0} 5597s
    ... {'checks': 5750000, 'confl': 537498, 'model_rej': 0} 5639s
    ... {'checks': 5800000, 'confl': 539429, 'model_rej': 0} 5672s
    ... {'checks': 5850000, 'confl': 541445, 'model_rej': 0} 5734s
    ... {'checks': 5900000, 'confl': 543652, 'model_rej': 0} 5773s
    ... {'checks': 5950000, 'confl': 546228, 'model_rej': 0} 5811s
    ... {'checks': 6000000, 'confl': 548210, 'model_rej': 0} 5844s
    ... {'checks': 6050000, 'confl': 551460, 'model_rej': 0} 5893s
    ... {'checks': 6100000, 'confl': 554121, 'model_rej': 0} 5934s
    ... {'checks': 6150000, 'confl': 555692, 'model_rej': 0} 5964s
    ... {'checks': 6200000, 'confl': 557328, 'model_rej': 0} 5996s
    ... {'checks': 6250000, 'confl': 559467, 'model_rej': 0} 6030s
    ... {'checks': 6300000, 'confl': 561620, 'model_rej': 0} 6087s
    ... {'checks': 6350000, 'confl': 564587, 'model_rej': 0} 6124s
    ... {'checks': 6400000, 'confl': 567021, 'model_rej': 0} 6162s
    ... {'checks': 6450000, 'confl': 568632, 'model_rej': 0} 6192s
    ... {'checks': 6500000, 'confl': 570245, 'model_rej': 0} 6221s
    ... {'checks': 6550000, 'confl': 571720, 'model_rej': 0} 6250s
    ... {'checks': 6600000, 'confl': 574147, 'model_rej': 0} 6288s
    ... {'checks': 6650000, 'confl': 575660, 'model_rej': 0} 6319s
    ... {'checks': 6700000, 'confl': 577221, 'model_rej': 0} 6362s
    ... {'checks': 6750000, 'confl': 578820, 'model_rej': 0} 6390s
    ... {'checks': 6800000, 'confl': 579982, 'model_rej': 0} 6415s
[c5_3_4_4_4_4] stats: {'checks': 6840156, 'confl': 581362, 'model_rej': 0}
[c5_3_4_4_4_4] UNSAT in 6437.8s — NOT BIPLANAR (subject to control validation)
