[q18-control-k9] n=18 m=62 cap=48 | 126 K5s, 840 K3,3s, 0 sym generators, 4553 clauses, propagator check_at=9
    ... {'checks': 4300000, 'confl': 382338, 'model_rej': 0} 2729s
    ... {'checks': 4350000, 'confl': 384105, 'model_rej': 0} 2752s
    ... {'checks': 4400000, 'confl': 385416, 'model_rej': 0} 2772s
    ... {'checks': 4450000, 'confl': 386779, 'model_rej': 0} 2793s
    ... {'checks': 4500000, 'confl': 388205, 'model_rej': 0} 2817s
    ... {'checks': 4550000, 'confl': 389430, 'model_rej': 0} 2839s
    ... {'checks': 4600000, 'confl': 390620, 'model_rej': 0} 2860s
    ... {'checks': 4650000, 'confl': 391498, 'model_rej': 0} 2879s
    ... {'checks': 4700000, 'confl': 392593, 'model_rej': 0} 2900s
    ... {'checks': 4750000, 'confl': 393869, 'model_rej': 0} 2922s
    ... {'checks': 4800000, 'confl': 395786, 'model_rej': 0} 2947s
    ... {'checks': 4850000, 'confl': 397738, 'model_rej': 0} 2973s
    ... {'checks': 4900000, 'confl': 399623, 'model_rej': 0} 3002s
    ... {'checks': 4950000, 'confl': 400443, 'model_rej': 0} 3023s
    ... {'checks': 5000000, 'confl': 401559, 'model_rej': 0} 3044s
    ... {'checks': 5050000, 'confl': 402988, 'model_rej': 0} 3067s
    ... {'checks': 5100000, 'confl': 404449, 'model_rej': 0} 3088s
    ... {'checks': 5150000, 'confl': 405624, 'model_rej': 0} 3111s
    ... {'checks': 5200000, 'confl': 407254, 'model_rej': 0} 3135s
    ... {'checks': 5250000, 'confl': 408776, 'model_rej': 0} 3158s
    ... {'checks': 5300000, 'confl': 409858, 'model_rej': 0} 3179s
    ... {'checks': 5350000, 'confl': 410829, 'model_rej': 0} 3199s
    ... {'checks': 5400000, 'confl': 411684, 'model_rej': 0} 3219s
    ... {'checks': 5450000, 'confl': 413207, 'model_rej': 0} 3242s
    ... {'checks': 5500000, 'confl': 415038, 'model_rej': 0} 3279s
    ... {'checks': 5550000, 'confl': 416776, 'model_rej': 0} 3305s
    ... {'checks': 5600000, 'confl': 418021, 'model_rej': 0} 3332s
    ... {'checks': 5650000, 'confl': 419675, 'model_rej': 0} 3356s
    ... {'checks': 5700000, 'confl': 421313, 'model_rej': 0} 3379s
    ... {'checks': 5750000, 'confl': 422750, 'model_rej': 0} 3400s
    ... {'checks': 5800000, 'confl': 424500, 'model_rej': 0} 3424s
    ... {'checks': 5850000, 'confl': 426068, 'model_rej': 0} 3447s
    ... {'checks': 5900000, 'confl': 427388, 'model_rej': 0} 3470s
    ... {'checks': 5950000, 'confl': 428953, 'model_rej': 0} 3492s
    ... {'checks': 6000000, 'confl': 429924, 'model_rej': 0} 3512s
    ... {'checks': 6050000, 'confl': 431109, 'model_rej': 0} 3532s
