# started Sun Aug 30 10:50:03 PDT 2026 — sym-on, nice 15, caffeinate, mem-watchdog 12%
# solver pid 57818
# 13 generators validated (12 transpositions + reflection)
# q18 SYM-ON run — git af6ab9d1ffeab20d53b6f35ccb711624f22e50ad
# input sha256 a755ab950315c52741c75dff92bd282bfbc8a800cdf6eca1477214d7714a0836
[q18-cone-c5-44333-symon] n=18 m=95 cap=48 | 243 K5s, 2502 K3,3s, 13 sym generators, 18205 clauses, propagator check_at=9
    ... {'checks': 4050000, 'confl': 454108, 'model_rej': 0} 4888s
    ... {'checks': 4100000, 'confl': 460011, 'model_rej': 0} 4952s
    ... {'checks': 4150000, 'confl': 465469, 'model_rej': 0} 5011s
    ... {'checks': 4200000, 'confl': 470488, 'model_rej': 0} 5067s
    ... {'checks': 4250000, 'confl': 476481, 'model_rej': 0} 5130s
    ... {'checks': 4300000, 'confl': 480448, 'model_rej': 0} 5181s
    ... {'checks': 4350000, 'confl': 484314, 'model_rej': 0} 5235s
    ... {'checks': 4400000, 'confl': 485409, 'model_rej': 0} 5263s
    ... {'checks': 4450000, 'confl': 486568, 'model_rej': 0} 5293s
    ... {'checks': 4500000, 'confl': 487684, 'model_rej': 0} 5322s
    ... {'checks': 4550000, 'confl': 490581, 'model_rej': 0} 5365s
    ... {'checks': 4600000, 'confl': 495296, 'model_rej': 0} 5421s
    ... {'checks': 4650000, 'confl': 499903, 'model_rej': 0} 5474s
    ... {'checks': 4700000, 'confl': 503836, 'model_rej': 0} 5525s
    ... {'checks': 4750000, 'confl': 507953, 'model_rej': 0} 5589s
    ... {'checks': 4800000, 'confl': 512572, 'model_rej': 0} 5644s
    ... {'checks': 4850000, 'confl': 516722, 'model_rej': 0} 5696s
    ... {'checks': 4900000, 'confl': 520812, 'model_rej': 0} 5746s
    ... {'checks': 4950000, 'confl': 525462, 'model_rej': 0} 5799s
    ... {'checks': 5000000, 'confl': 528929, 'model_rej': 0} 5844s
    ... {'checks': 5050000, 'confl': 533513, 'model_rej': 0} 5900s
    ... {'checks': 5100000, 'confl': 539506, 'model_rej': 0} 5964s
    ... {'checks': 5150000, 'confl': 544771, 'model_rej': 0} 6024s
    ... {'checks': 5200000, 'confl': 549556, 'model_rej': 0} 6081s
    ... {'checks': 5250000, 'confl': 555151, 'model_rej': 0} 6165s
    ... {'checks': 5300000, 'confl': 559061, 'model_rej': 0} 6211s
    ... {'checks': 5350000, 'confl': 563786, 'model_rej': 0} 6266s
    ... {'checks': 5400000, 'confl': 566617, 'model_rej': 0} 6308s
    ... {'checks': 5450000, 'confl': 570611, 'model_rej': 0} 6355s
    ... {'checks': 5500000, 'confl': 573497, 'model_rej': 0} 6396s
    ... {'checks': 5550000, 'confl': 577235, 'model_rej': 0} 6442s
    ... {'checks': 5600000, 'confl': 580226, 'model_rej': 0} 6484s
    ... {'checks': 5650000, 'confl': 582997, 'model_rej': 0} 6523s
    ... {'checks': 5700000, 'confl': 585579, 'model_rej': 0} 6562s
    ... {'checks': 5750000, 'confl': 588584, 'model_rej': 0} 6605s
    ... {'checks': 5800000, 'confl': 590882, 'model_rej': 0} 6645s
    ... {'checks': 5850000, 'confl': 593031, 'model_rej': 0} 6682s
    ... {'checks': 5900000, 'confl': 597075, 'model_rej': 0} 6729s
    ... {'checks': 5950000, 'confl': 599962, 'model_rej': 0} 6773s
    ... {'checks': 6000000, 'confl': 602440, 'model_rej': 0} 6809s
    ... {'checks': 6050000, 'confl': 604810, 'model_rej': 0} 6845s
    ... {'checks': 6100000, 'confl': 607978, 'model_rej': 0} 6891s
    ... {'checks': 6150000, 'confl': 610547, 'model_rej': 0} 6933s
    ... {'checks': 6200000, 'confl': 613009, 'model_rej': 0} 6974s
    ... {'checks': 6250000, 'confl': 615927, 'model_rej': 0} 7016s
    ... {'checks': 6300000, 'confl': 618328, 'model_rej': 0} 7055s
    ... {'checks': 6350000, 'confl': 621775, 'model_rej': 0} 7102s
    ... {'checks': 6400000, 'confl': 625052, 'model_rej': 0} 7145s
    ... {'checks': 6450000, 'confl': 627474, 'model_rej': 0} 7184s
    ... {'checks': 6500000, 'confl': 630461, 'model_rej': 0} 7225s
    ... {'checks': 6550000, 'confl': 633027, 'model_rej': 0} 7265s
    ... {'checks': 6600000, 'confl': 636564, 'model_rej': 0} 7312s
    ... {'checks': 6650000, 'confl': 639882, 'model_rej': 0} 7375s
    ... {'checks': 6700000, 'confl': 642446, 'model_rej': 0} 7419s
    ... {'checks': 6750000, 'confl': 644864, 'model_rej': 0} 7461s
    ... {'checks': 6800000, 'confl': 646433, 'model_rej': 0} 7495s
    ... {'checks': 6850000, 'confl': 648118, 'model_rej': 0} 7529s
    ... {'checks': 6900000, 'confl': 651053, 'model_rej': 0} 7575s
    ... {'checks': 6950000, 'confl': 653990, 'model_rej': 0} 7622s
    ... {'checks': 7000000, 'confl': 656302, 'model_rej': 0} 7693s
    ... {'checks': 7050000, 'confl': 658710, 'model_rej': 0} 7735s
    ... {'checks': 7100000, 'confl': 660831, 'model_rej': 0} 7777s
    ... {'checks': 7150000, 'confl': 663912, 'model_rej': 0} 7822s
    ... {'checks': 7200000, 'confl': 667177, 'model_rej': 0} 7869s
    ... {'checks': 7250000, 'confl': 671376, 'model_rej': 0} 7924s
    ... {'checks': 7300000, 'confl': 675236, 'model_rej': 0} 7980s
    ... {'checks': 7350000, 'confl': 678513, 'model_rej': 0} 8032s
    ... {'checks': 7400000, 'confl': 681532, 'model_rej': 0} 8078s
