[c5_3_4_4_3_5] n=19 m=98 cap=51 | 209 K5s, 1816 K3,3s, 15 sym generators, 18026 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 11697, 'model_rej': 0} 91s
    ... {'checks': 100000, 'confl': 23511, 'model_rej': 0} 184s
    ... {'checks': 150000, 'confl': 35575, 'model_rej': 0} 276s
    ... {'checks': 200000, 'confl': 47285, 'model_rej': 0} 360s
    ... {'checks': 250000, 'confl': 57691, 'model_rej': 0} 441s
    ... {'checks': 300000, 'confl': 66662, 'model_rej': 0} 522s
    ... {'checks': 350000, 'confl': 76175, 'model_rej': 0} 603s
    ... {'checks': 400000, 'confl': 86059, 'model_rej': 0} 683s
    ... {'checks': 450000, 'confl': 96275, 'model_rej': 0} 766s
    ... {'checks': 500000, 'confl': 107715, 'model_rej': 0} 858s
    ... {'checks': 550000, 'confl': 117985, 'model_rej': 0} 939s
    ... {'checks': 600000, 'confl': 127988, 'model_rej': 0} 1020s
    ... {'checks': 650000, 'confl': 137977, 'model_rej': 0} 1104s
    ... {'checks': 700000, 'confl': 147694, 'model_rej': 0} 1183s
    ... {'checks': 750000, 'confl': 154637, 'model_rej': 0} 1250s
    ... {'checks': 800000, 'confl': 161373, 'model_rej': 0} 1312s
    ... {'checks': 850000, 'confl': 168071, 'model_rej': 0} 1370s
    ... {'checks': 900000, 'confl': 174369, 'model_rej': 0} 1422s
    ... {'checks': 950000, 'confl': 181208, 'model_rej': 0} 1482s
    ... {'checks': 1000000, 'confl': 188165, 'model_rej': 0} 1549s
    ... {'checks': 1050000, 'confl': 195767, 'model_rej': 0} 1615s
    ... {'checks': 1100000, 'confl': 205154, 'model_rej': 0} 1694s
    ... {'checks': 1150000, 'confl': 211554, 'model_rej': 0} 1753s
    ... {'checks': 1200000, 'confl': 221113, 'model_rej': 0} 1832s
    ... {'checks': 1250000, 'confl': 229439, 'model_rej': 0} 1903s
    ... {'checks': 1300000, 'confl': 238557, 'model_rej': 0} 1980s
    ... {'checks': 1350000, 'confl': 247317, 'model_rej': 0} 2056s
    ... {'checks': 1400000, 'confl': 256008, 'model_rej': 0} 2132s
    ... {'checks': 1450000, 'confl': 263705, 'model_rej': 0} 2198s
    ... {'checks': 1500000, 'confl': 270271, 'model_rej': 0} 2258s
    ... {'checks': 1550000, 'confl': 275434, 'model_rej': 0} 2307s
    ... {'checks': 1600000, 'confl': 281131, 'model_rej': 0} 2361s
    ... {'checks': 1650000, 'confl': 287254, 'model_rej': 0} 2419s
    ... {'checks': 1700000, 'confl': 294655, 'model_rej': 0} 2485s
    ... {'checks': 1750000, 'confl': 302059, 'model_rej': 0} 2554s
    ... {'checks': 1800000, 'confl': 308333, 'model_rej': 0} 2612s
    ... {'checks': 1850000, 'confl': 314643, 'model_rej': 0} 2672s
    ... {'checks': 1900000, 'confl': 322145, 'model_rej': 0} 2739s
    ... {'checks': 1950000, 'confl': 330794, 'model_rej': 0} 2818s
    ... {'checks': 2000000, 'confl': 338189, 'model_rej': 0} 2889s
    ... {'checks': 2050000, 'confl': 344655, 'model_rej': 0} 2951s
    ... {'checks': 2100000, 'confl': 351703, 'model_rej': 0} 3017s
    ... {'checks': 2150000, 'confl': 358919, 'model_rej': 0} 3079s
    ... {'checks': 2200000, 'confl': 365789, 'model_rej': 0} 3145s
    ... {'checks': 2250000, 'confl': 372714, 'model_rej': 0} 3209s
    ... {'checks': 2300000, 'confl': 378490, 'model_rej': 0} 3268s
    ... {'checks': 2350000, 'confl': 385615, 'model_rej': 0} 3333s
    ... {'checks': 2400000, 'confl': 391188, 'model_rej': 0} 3387s
    ... {'checks': 2450000, 'confl': 396331, 'model_rej': 0} 3440s
    ... {'checks': 2500000, 'confl': 401984, 'model_rej': 0} 3495s
    ... {'checks': 2550000, 'confl': 406696, 'model_rej': 0} 3546s
    ... {'checks': 2600000, 'confl': 412015, 'model_rej': 0} 3601s
    ... {'checks': 2650000, 'confl': 418240, 'model_rej': 0} 3661s
    ... {'checks': 2700000, 'confl': 422941, 'model_rej': 0} 3708s
    ... {'checks': 2750000, 'confl': 428458, 'model_rej': 0} 3768s
    ... {'checks': 2800000, 'confl': 434368, 'model_rej': 0} 3829s
    ... {'checks': 2850000, 'confl': 440047, 'model_rej': 0} 3884s
    ... {'checks': 2900000, 'confl': 445282, 'model_rej': 0} 3937s
    ... {'checks': 2950000, 'confl': 449824, 'model_rej': 0} 3981s
    ... {'checks': 3000000, 'confl': 454823, 'model_rej': 0} 4031s
    ... {'checks': 3050000, 'confl': 459240, 'model_rej': 0} 4078s
    ... {'checks': 3100000, 'confl': 463684, 'model_rej': 0} 4125s
    ... {'checks': 3150000, 'confl': 467444, 'model_rej': 0} 4168s
    ... {'checks': 3200000, 'confl': 472732, 'model_rej': 0} 4220s
    ... {'checks': 3250000, 'confl': 478390, 'model_rej': 0} 4277s
    ... {'checks': 3300000, 'confl': 483173, 'model_rej': 0} 4325s
    ... {'checks': 3350000, 'confl': 488392, 'model_rej': 0} 4375s
    ... {'checks': 3400000, 'confl': 493334, 'model_rej': 0} 4423s
    ... {'checks': 3450000, 'confl': 498821, 'model_rej': 0} 4476s
    ... {'checks': 3500000, 'confl': 504794, 'model_rej': 0} 4535s
    ... {'checks': 3550000, 'confl': 509808, 'model_rej': 0} 4585s
    ... {'checks': 3600000, 'confl': 514800, 'model_rej': 0} 4637s
    ... {'checks': 3650000, 'confl': 519514, 'model_rej': 0} 4681s
    ... {'checks': 3700000, 'confl': 525134, 'model_rej': 0} 4733s
    ... {'checks': 3750000, 'confl': 530568, 'model_rej': 0} 4780s
    ... {'checks': 3800000, 'confl': 534991, 'model_rej': 0} 4826s
    ... {'checks': 3850000, 'confl': 538038, 'model_rej': 0} 4863s
    ... {'checks': 3900000, 'confl': 540791, 'model_rej': 0} 4901s
    ... {'checks': 3950000, 'confl': 545395, 'model_rej': 0} 4947s
    ... {'checks': 4000000, 'confl': 549796, 'model_rej': 0} 4991s
    ... {'checks': 4050000, 'confl': 554313, 'model_rej': 0} 5034s
    ... {'checks': 4100000, 'confl': 559310, 'model_rej': 0} 5085s
    ... {'checks': 4150000, 'confl': 563832, 'model_rej': 0} 5133s
    ... {'checks': 4200000, 'confl': 568102, 'model_rej': 0} 5179s
    ... {'checks': 4250000, 'confl': 571926, 'model_rej': 0} 5232s
    ... {'checks': 4300000, 'confl': 576347, 'model_rej': 0} 5279s
    ... {'checks': 4350000, 'confl': 581415, 'model_rej': 0} 5328s
    ... {'checks': 4400000, 'confl': 586633, 'model_rej': 0} 5378s
    ... {'checks': 4450000, 'confl': 591104, 'model_rej': 0} 5422s
    ... {'checks': 4500000, 'confl': 596334, 'model_rej': 0} 5472s
    ... {'checks': 4550000, 'confl': 600755, 'model_rej': 0} 5526s
    ... {'checks': 4600000, 'confl': 604510, 'model_rej': 0} 5569s
    ... {'checks': 4650000, 'confl': 607951, 'model_rej': 0} 5628s
    ... {'checks': 4700000, 'confl': 613028, 'model_rej': 0} 5677s
    ... {'checks': 4750000, 'confl': 615630, 'model_rej': 0} 5713s
    ... {'checks': 4800000, 'confl': 620377, 'model_rej': 0} 5761s
    ... {'checks': 4850000, 'confl': 624548, 'model_rej': 0} 5806s
    ... {'checks': 4900000, 'confl': 629167, 'model_rej': 0} 5854s
    ... {'checks': 4950000, 'confl': 633831, 'model_rej': 0} 5902s
    ... {'checks': 5000000, 'confl': 638159, 'model_rej': 0} 5948s
    ... {'checks': 5050000, 'confl': 640849, 'model_rej': 0} 5982s
    ... {'checks': 5100000, 'confl': 645084, 'model_rej': 0} 6039s
    ... {'checks': 5150000, 'confl': 649024, 'model_rej': 0} 6081s
    ... {'checks': 5200000, 'confl': 653451, 'model_rej': 0} 6129s
    ... {'checks': 5250000, 'confl': 656857, 'model_rej': 0} 6168s
    ... {'checks': 5300000, 'confl': 660825, 'model_rej': 0} 6212s
    ... {'checks': 5350000, 'confl': 664936, 'model_rej': 0} 6257s
    ... {'checks': 5400000, 'confl': 669001, 'model_rej': 0} 6299s
    ... {'checks': 5450000, 'confl': 673834, 'model_rej': 0} 6346s
    ... {'checks': 5500000, 'confl': 677448, 'model_rej': 0} 6399s
    ... {'checks': 5550000, 'confl': 680438, 'model_rej': 0} 6437s
    ... {'checks': 5600000, 'confl': 683607, 'model_rej': 0} 6477s
    ... {'checks': 5650000, 'confl': 686918, 'model_rej': 0} 6515s
    ... {'checks': 5700000, 'confl': 690300, 'model_rej': 0} 6562s
    ... {'checks': 5750000, 'confl': 692745, 'model_rej': 0} 6594s
    ... {'checks': 5800000, 'confl': 695745, 'model_rej': 0} 6631s
    ... {'checks': 5850000, 'confl': 699399, 'model_rej': 0} 6670s
    ... {'checks': 5900000, 'confl': 702259, 'model_rej': 0} 6708s
    ... {'checks': 5950000, 'confl': 705062, 'model_rej': 0} 6746s
    ... {'checks': 6000000, 'confl': 707363, 'model_rej': 0} 6777s
    ... {'checks': 6050000, 'confl': 709452, 'model_rej': 0} 6823s
