[c5_3_3_5_3_5] n=19 m=98 cap=51 | 228 K5s, 2040 K3,3s, 15 sym generators, 18512 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 13245, 'model_rej': 0} 111s
    ... {'checks': 100000, 'confl': 24793, 'model_rej': 0} 212s
    ... {'checks': 150000, 'confl': 36632, 'model_rej': 0} 311s
    ... {'checks': 200000, 'confl': 48752, 'model_rej': 0} 400s
    ... {'checks': 250000, 'confl': 57567, 'model_rej': 0} 471s
    ... {'checks': 300000, 'confl': 66704, 'model_rej': 0} 545s
    ... {'checks': 350000, 'confl': 77372, 'model_rej': 0} 631s
    ... {'checks': 400000, 'confl': 87480, 'model_rej': 0} 717s
    ... {'checks': 450000, 'confl': 96745, 'model_rej': 0} 801s
    ... {'checks': 500000, 'confl': 106765, 'model_rej': 0} 886s
    ... {'checks': 550000, 'confl': 116554, 'model_rej': 0} 962s
    ... {'checks': 600000, 'confl': 125415, 'model_rej': 0} 1031s
    ... {'checks': 650000, 'confl': 133441, 'model_rej': 0} 1103s
    ... {'checks': 700000, 'confl': 139687, 'model_rej': 0} 1160s
    ... {'checks': 750000, 'confl': 147273, 'model_rej': 0} 1225s
    ... {'checks': 800000, 'confl': 152278, 'model_rej': 0} 1271s
    ... {'checks': 850000, 'confl': 157442, 'model_rej': 0} 1319s
    ... {'checks': 900000, 'confl': 163558, 'model_rej': 0} 1375s
    ... {'checks': 950000, 'confl': 169489, 'model_rej': 0} 1431s
    ... {'checks': 1000000, 'confl': 176127, 'model_rej': 0} 1488s
    ... {'checks': 1050000, 'confl': 180906, 'model_rej': 0} 1535s
    ... {'checks': 1100000, 'confl': 187336, 'model_rej': 0} 1591s
    ... {'checks': 1150000, 'confl': 193306, 'model_rej': 0} 1642s
    ... {'checks': 1200000, 'confl': 199561, 'model_rej': 0} 1700s
    ... {'checks': 1250000, 'confl': 204763, 'model_rej': 0} 1750s
    ... {'checks': 1300000, 'confl': 210513, 'model_rej': 0} 1803s
    ... {'checks': 1350000, 'confl': 217402, 'model_rej': 0} 1861s
    ... {'checks': 1400000, 'confl': 222141, 'model_rej': 0} 1906s
    ... {'checks': 1450000, 'confl': 227960, 'model_rej': 0} 1958s
    ... {'checks': 1500000, 'confl': 235937, 'model_rej': 0} 2018s
    ... {'checks': 1550000, 'confl': 242393, 'model_rej': 0} 2074s
    ... {'checks': 1600000, 'confl': 247271, 'model_rej': 0} 2121s
    ... {'checks': 1650000, 'confl': 250172, 'model_rej': 0} 2156s
    ... {'checks': 1700000, 'confl': 253076, 'model_rej': 0} 2189s
    ... {'checks': 1750000, 'confl': 257998, 'model_rej': 0} 2235s
    ... {'checks': 1800000, 'confl': 261431, 'model_rej': 0} 2271s
    ... {'checks': 1850000, 'confl': 265229, 'model_rej': 0} 2311s
    ... {'checks': 1900000, 'confl': 269522, 'model_rej': 0} 2355s
    ... {'checks': 1950000, 'confl': 272975, 'model_rej': 0} 2392s
    ... {'checks': 2000000, 'confl': 276504, 'model_rej': 0} 2429s
    ... {'checks': 2050000, 'confl': 279138, 'model_rej': 0} 2462s
    ... {'checks': 2100000, 'confl': 282246, 'model_rej': 0} 2497s
    ... {'checks': 2150000, 'confl': 284611, 'model_rej': 0} 2528s
    ... {'checks': 2200000, 'confl': 286889, 'model_rej': 0} 2559s
    ... {'checks': 2250000, 'confl': 289641, 'model_rej': 0} 2589s
    ... {'checks': 2300000, 'confl': 292779, 'model_rej': 0} 2623s
    ... {'checks': 2350000, 'confl': 294898, 'model_rej': 0} 2652s
    ... {'checks': 2400000, 'confl': 296498, 'model_rej': 0} 2676s
    ... {'checks': 2450000, 'confl': 297965, 'model_rej': 0} 2701s
    ... {'checks': 2500000, 'confl': 299848, 'model_rej': 0} 2727s
    ... {'checks': 2550000, 'confl': 301180, 'model_rej': 0} 2753s
    ... {'checks': 2600000, 'confl': 304410, 'model_rej': 0} 2789s
    ... {'checks': 2650000, 'confl': 307648, 'model_rej': 0} 2825s
    ... {'checks': 2700000, 'confl': 310896, 'model_rej': 0} 2860s
    ... {'checks': 2750000, 'confl': 314196, 'model_rej': 0} 2896s
    ... {'checks': 2800000, 'confl': 316869, 'model_rej': 0} 2928s
    ... {'checks': 2850000, 'confl': 320808, 'model_rej': 0} 2967s
    ... {'checks': 2900000, 'confl': 325364, 'model_rej': 0} 3012s
